Model,Intervention_Type,Success_Rate,Partial_Credit
GPT-4,Do-Calculus,0.5614580514100853,0.7045448363515261
GPT-4,Counterfactual Query,0.6563326118219867,0.8824841046423879
GPT-4,Mediation Analysis,0.6829623400954046,0.8212554922479456
GPT-4,Causal Graph Construction,0.8244787024761129,1.0128504389337583
GPT-3.5,Do-Calculus,0.3897890298957076,0.5669170320750058
GPT-3.5,Counterfactual Query,0.45064964158110143,0.5773631539025885
GPT-3.5,Mediation Analysis,0.5321043444605976,0.5864403322277078
GPT-3.5,Causal Graph Construction,0.4732416087960276,0.595127232333979
Claude-3,Do-Calculus,0.4548918876347569,0.6206042542645206
Claude-3,Counterfactual Query,0.5304488183041495,0.6098336332373849
Claude-3,Mediation Analysis,0.7128067131657562,0.8515178981414293
Claude-3,Causal Graph Construction,0.6746249140276479,0.753387504716975
LLaMA-2-70B,Do-Calculus,0.4088821108212387,0.564428240306732
LLaMA-2-70B,Counterfactual Query,0.44851273382027057,0.6172976347375542
LLaMA-2-70B,Mediation Analysis,0.524523846548379,0.6599391590587151
LLaMA-2-70B,Causal Graph Construction,0.5516048814570452,0.7942187906824921
Gemini-Pro,Do-Calculus,0.47198980490490616,0.5691042584571111
Gemini-Pro,Counterfactual Query,0.5819287617606674,0.6708865792621164
Gemini-Pro,Mediation Analysis,0.6191758343486317,0.6711923281546429
Gemini-Pro,Causal Graph Construction,0.5724437468544444,0.7322868086479006
PaLM-2,Do-Calculus,0.41939462125425464,0.5779630353137531
PaLM-2,Counterfactual Query,0.4533663476783313,0.5883111628988669
PaLM-2,Mediation Analysis,0.4500289900893172,0.5640367796695818
PaLM-2,Causal Graph Construction,0.5170183286199028,0.7198744399308485
